,President - 1,President - 2
362,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
364,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
366,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
368,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
369,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
370,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
371,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
372,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
374,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
375,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
377,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
378,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
379,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
380,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
381,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
382,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
383,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
384,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
385,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
386,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
387,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
388,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
389,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
390,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
392,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
393,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
394,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
396,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
397,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
398,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
400,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
402,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
403,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
404,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
405,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
406,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
407,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
409,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
410,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
411,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
412,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
413,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
414,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
415,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
416,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
417,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
418,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
419,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
420,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
422,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
423,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
424,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
425,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
426,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
427,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
428,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
429,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
430,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
431,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
434,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
435,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
436,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
438,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
439,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
440,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
441,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
442,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
443,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
444,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
445,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
446,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
447,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
448,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
449,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
450,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
451,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
452,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
453,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
455,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
456,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
457,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
458,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
460,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
461,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
463,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
465,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
467,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
469,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
471,Chaka Tellem | ElevateCal | Current ASUC President | ♥,
472,"Catherine Bauer | Student Action | Tenacious ideas, tangible solutions. | ♥",
